mpg,cylinders,displacement,horsepower,weight,acceleration,age,model_year,origin,name
18.0,8,307.0,130.0,3504.0,12.0,54,1970,usa,chevrolet chevelle malibu
15.0,8,350.0,165.0,3693.0,11.5,54,1970,usa,buick skylark 320
18.0,8,318.0,150.0,3436.0,11.0,54,1970,usa,plymouth satellite
16.0,8,304.0,150.0,3433.0,12.0,54,1970,usa,amc rebel sst
17.0,8,302.0,140.0,3449.0,10.5,54,1970,usa,ford torino
15.0,8,429.0,198.0,4341.0,10.0,54,1970,usa,ford galaxie 500
15.0,8,383.0,170.0,3563.0,10.0,54,1970,usa,dodge challenger se
15.0,8,400.0,150.0,3761.0,9.5,54,1970,usa,chevrolet monte carlo
24.0,4,113.0,95.0,2372.0,15.0,54,1970,japan,toyota corona mark ii
22.0,6,198.0,95.0,2833.0,15.5,54,1970,usa,plymouth duster
18.0,6,199.0,97.0,2774.0,15.5,54,1970,usa,amc hornet
21.0,6,200.0,85.0,2587.0,16.0,54,1970,usa,ford maverick
27.0,4,97.0,88.0,2130.0,14.5,54,1970,japan,datsun pl510
26.0,4,97.0,46.0,1835.0,20.5,54,1970,europe,volkswagen 1131 deluxe sedan
25.0,4,110.0,87.0,2672.0,17.5,54,1970,europe,peugeot 504
24.0,4,107.0,90.0,2430.0,14.5,54,1970,europe,audi 100 ls
25.0,4,104.0,95.0,2375.0,17.5,54,1970,europe,saab 99e
26.0,4,121.0,113.0,2234.0,12.5,54,1970,europe,bmw 2002
21.0,6,199.0,90.0,2648.0,15.0,54,1970,usa,amc gremlin
10.0,8,307.0,200.0,4376.0,15.0,54,1970,usa,chevy c20
9.0,8,304.0,193.0,4732.0,18.5,54,1970,usa,hi 1200d
27.0,4,97.0,88.0,2130.0,14.5,53,1971,japan,datsun pl510
28.0,4,140.0,90.0,2264.0,15.5,53,1971,usa,chevrolet vega 2300
25.0,4,113.0,95.0,2228.0,14.0,53,1971,japan,toyota corona
19.0,6,232.0,100.0,2634.0,13.0,53,1971,usa,amc gremlin
16.0,6,225.0,105.0,3439.0,15.5,53,1971,usa,plymouth satellite custom
17.0,6,250.0,100.0,3329.0,15.5,53,1971,usa,chevrolet chevelle malibu
19.0,6,250.0,88.0,3302.0,15.5,53,1971,usa,ford torino 500
18.0,6,232.0,100.0,3288.0,15.5,53,1971,usa,amc matador
14.0,8,350.0,165.0,4209.0,12.0,53,1971,usa,chevrolet impala
14.0,8,400.0,175.0,4464.0,11.5,53,1971,usa,pontiac catalina brougham
14.0,8,351.0,153.0,4154.0,13.5,53,1971,usa,ford galaxie 500
14.0,8,318.0,150.0,4096.0,13.0,53,1971,usa,plymouth fury iii
12.0,8,383.0,180.0,4955.0,11.5,53,1971,usa,dodge monaco (sw)
13.0,8,400.0,170.0,4746.0,12.0,53,1971,usa,ford country squire (sw)
13.0,8,400.0,175.0,5140.0,12.0,53,1971,usa,pontiac safari (sw)
18.0,6,258.0,110.0,2962.0,13.5,53,1971,usa,amc hornet sportabout (sw)
22.0,4,140.0,72.0,2408.0,19.0,53,1971,usa,chevrolet vega (sw)
19.0,6,250.0,100.0,3282.0,15.0,53,1971,usa,pontiac firebird
18.0,6,250.0,88.0,3139.0,14.5,53,1971,usa,ford mustang
23.0,4,122.0,86.0,2220.0,14.0,53,1971,usa,mercury capri 2000
28.0,4,116.0,90.0,2123.0,14.0,53,1971,europe,opel 1900
30.0,4,79.0,70.0,2074.0,19.5,53,1971,europe,peugeot 304
30.0,4,88.0,76.0,2065.0,14.5,53,1971,europe,fiat 124b
31.0,4,71.0,65.0,1773.0,19.0,53,1971,japan,toyota corolla 1200
35.0,4,72.0,69.0,1613.0,18.0,53,1971,japan,datsun 1200
27.0,4,97.0,60.0,1834.0,19.0,53,1971,europe,volkswagen model 111
26.0,4,91.0,70.0,1955.0,20.5,53,1971,usa,plymouth cricket
24.0,4,113.0,95.0,2278.0,15.5,52,1972,japan,toyota corona hardtop
25.0,4,97.5,80.0,2126.0,17.0,52,1972,usa,dodge colt hardtop
20.0,4,140.0,90.0,2408.0,19.5,52,1972,usa,chevrolet vega
21.0,4,122.0,86.0,2226.0,16.5,52,1972,usa,ford pinto runabout
13.0,8,350.0,165.0,4274.0,12.0,52,1972,usa,chevrolet impala
14.0,8,400.0,175.0,4385.0,12.0,52,1972,usa,pontiac catalina
15.0,8,318.0,150.0,4135.0,13.5,52,1972,usa,plymouth fury iii
14.0,8,351.0,153.0,4129.0,13.0,52,1972,usa,ford galaxie 500
17.0,8,304.0,150.0,3672.0,11.5,52,1972,usa,amc ambassador sst
